,record,type,0_qrs_interval,0_pre-RR,0_post-RR,0_qt_interval,0_st_interval
132,101,N,27,92,289.0,40,7
133,101,N,23,289,278.0,32,6
134,101,N,21,278,286.0,29,3
135,101,N,28,286,101.0,37,3
136,101,N,24,196,295.0,38,7
137,101,N,22,295,293.0,34,8
138,101,N,23,293,276.0,35,7
139,101,N,22,276,278.0,33,8
140,101,N,22,278,278.0,64,36
141,101,N,29,278,270.0,40,9
142,101,N,23,270,279.0,35,8
143,101,N,23,279,292.0,32,4
144,101,N,29,292,289.0,45,8
145,101,N,23,289,301.0,31,6
146,101,N,27,301,293.0,40,5
147,101,N,25,293,283.0,118,89
148,101,N,32,283,286.0,67,7
149,101,N,26,286,299.0,50,1
150,101,N,23,299,302.0,34,8
151,101,N,23,302,310.0,33,7
152,101,N,11,310,310.0,15,1
153,101,N,23,310,299.0,32,7
154,101,N,22,299,296.0,32,7
155,101,N,9,296,289.0,14,1
156,101,N,24,289,284.0,35,6
157,101,N,23,284,289.0,32,6
158,101,N,33,289,304.0,58,12
159,101,N,32,304,304.0,51,6
160,101,N,30,304,297.0,43,7
161,101,N,26,297,277.0,45,11
162,101,N,27,277,279.0,42,7
163,101,N,23,279,270.0,39,8
164,101,N,21,270,279.0,34,8
165,101,N,23,279,289.0,32,6
166,101,N,37,289,298.0,49,7
167,101,N,29,298,286.0,43,10
168,101,N,26,286,287.0,36,4
169,101,N,25,287,278.0,33,3
170,101,N,22,278,274.0,33,6
171,101,N,21,274,273.0,35,6
172,101,N,24,273,282.0,119,89
173,101,N,23,282,293.0,36,7
174,101,N,32,293,294.0,122,86
175,101,N,33,294,286.0,132,92
176,101,N,32,286,280.0,72,33
177,101,N,23,280,274.0,32,5
178,101,N,23,274,296.0,31,4
179,101,N,33,296,297.0,110,71
180,101,N,24,297,293.0,37,7
181,101,N,24,293,298.0,123,94
182,101,N,22,298,305.0,53,22
183,101,N,33,305,301.0,124,87
184,101,N,23,301,296.0,118,90
185,101,N,23,296,300.0,37,5
186,101,N,23,300,311.0,32,4
187,101,N,33,311,334.0,123,84
188,101,N,33,334,340.0,125,85
189,101,N,34,340,336.0,126,86
190,101,N,32,336,317.0,124,86
191,101,N,23,317,297.0,35,6
192,101,N,23,297,303.0,34,7
193,101,N,33,303,321.0,119,81
194,101,N,31,321,324.0,127,86
195,101,N,24,324,332.0,32,4
196,101,N,25,332,334.0,38,1
197,101,N,32,334,321.0,122,84
198,101,N,31,321,307.0,117,77
199,101,N,23,307,305.0,36,6
200,101,N,22,305,306.0,36,8
201,101,N,22,306,332.0,34,7
202,101,N,34,332,331.0,129,88
203,101,N,34,331,301.0,124,84
204,101,N,24,301,313.0,36,7
205,101,N,33,313,322.0,125,83
206,101,N,29,322,102.0,111,77
207,101,N,3,219,99.0,122,6
208,101,N,27,217,336.0,113,83
209,101,N,30,336,325.0,76,41
210,101,N,24,325,335.0,35,4
211,101,N,26,335,302.0,117,87
212,101,N,22,302,316.0,35,8
213,101,N,31,316,331.0,120,83
214,101,N,24,331,330.0,33,5
215,101,N,23,330,319.0,31,4
216,101,N,22,319,339.0,35,6
217,101,N,23,339,326.0,38,6
218,101,N,22,326,308.0,41,8
219,101,N,10,308,312.0,18,1
220,101,N,21,312,322.0,37,8
221,101,N,22,322,332.0,37,6
222,101,N,22,332,341.0,35,6
223,101,N,23,341,325.0,34,4
224,101,N,23,325,306.0,39,9
225,101,N,22,306,310.0,113,85
226,101,N,23,310,311.0,33,5
227,101,N,23,311,325.0,34,4
228,101,N,23,325,335.0,33,4
229,101,N,23,335,335.0,35,5
230,101,N,23,335,336.0,122,93
231,101,N,25,336,312.0,118,88
232,101,N,22,312,310.0,38,9
233,101,N,22,310,311.0,36,8
234,101,N,23,311,329.0,37,8
235,101,N,23,329,330.0,36,8
236,101,N,24,330,322.0,91,62
237,101,N,22,322,305.0,34,8
238,101,N,23,305,293.0,36,8
239,101,N,23,293,312.0,120,92
240,101,N,24,312,317.0,127,93
241,101,N,23,317,327.0,119,91
242,101,N,23,327,340.0,35,6
243,101,N,24,340,317.0,39,8
244,101,N,11,317,324.0,17,1
245,101,N,22,324,317.0,36,8
246,101,N,22,317,313.0,35,8
247,101,N,23,313,326.0,36,8
248,101,N,23,326,338.0,35,7
249,101,N,22,338,330.0,36,8
250,101,N,23,330,337.0,36,8
251,101,N,24,337,329.0,35,7
252,101,N,23,329,320.0,116,88
253,101,N,23,320,327.0,37,8
254,101,N,24,327,341.0,118,90
255,101,N,24,341,344.0,124,96
256,101,N,24,344,357.0,36,8
257,101,N,24,357,337.0,31,5
258,101,N,25,337,308.0,124,93
259,101,N,22,308,303.0,36,9
260,101,N,24,303,309.0,35,7
261,101,N,24,309,334.0,38,8
262,101,N,25,334,345.0,35,4
263,101,N,24,345,338.0,35,4
264,101,N,23,338,323.0,38,6
265,101,N,23,323,330.0,41,7
266,101,N,23,330,330.0,116,88
267,101,N,23,330,334.0,37,8
268,101,N,22,334,326.0,122,94
269,101,N,23,326,344.0,38,7
270,101,N,23,344,341.0,33,5
271,101,N,23,341,309.0,37,9
272,101,N,22,309,308.0,35,8
273,101,N,23,308,337.0,118,90
274,101,N,24,337,346.0,122,92
275,101,N,24,346,334.0,35,3
276,101,N,24,334,316.0,125,97
277,101,N,23,316,304.0,35,7
278,101,N,23,304,311.0,119,89
279,101,N,23,311,309.0,36,7
280,101,N,23,309,313.0,118,89
281,101,N,23,313,349.0,42,9
282,101,N,24,349,346.0,34,4
283,101,N,22,346,338.0,35,8
284,101,N,23,338,329.0,122,92
285,101,N,22,329,332.0,122,92
286,101,N,22,332,346.0,36,8
287,101,N,23,346,354.0,36,7
288,101,N,22,354,361.0,35,7
289,101,N,22,361,339.0,40,8
290,101,N,23,339,338.0,122,94
291,101,N,23,338,332.0,118,90
292,101,N,22,332,328.0,37,9
293,101,N,23,328,346.0,36,7
294,101,N,23,346,351.0,127,99
295,101,N,22,351,354.0,36,8
296,101,N,23,354,343.0,125,96
297,101,N,22,343,340.0,41,7
298,101,N,23,340,340.0,119,90
299,101,N,23,340,346.0,119,91
300,101,N,23,346,340.0,124,91
301,101,N,23,340,360.0,35,7
302,101,N,23,360,352.0,124,95
303,101,N,22,352,330.0,34,7
304,101,N,22,330,329.0,37,8
305,101,N,23,329,336.0,36,7
306,101,N,22,336,363.0,36,8
307,101,N,23,363,362.0,35,5
308,101,N,22,362,352.0,39,9
309,101,N,23,352,343.0,38,5
310,101,N,22,343,328.0,38,8
311,101,N,23,328,338.0,38,6
312,101,N,22,338,340.0,35,8
313,101,N,23,340,357.0,35,6
314,101,N,23,357,365.0,37,5
315,101,N,22,365,346.0,122,94
316,101,N,22,346,334.0,39,6
317,101,N,22,334,324.0,44,9
318,101,N,22,324,345.0,38,9
319,101,N,23,345,361.0,33,4
320,101,N,23,361,364.0,39,5
321,101,N,23,364,340.0,130,94
322,101,N,10,340,345.0,18,1
323,101,N,23,345,342.0,35,7
324,101,N,23,342,343.0,35,7
325,101,N,23,343,369.0,33,4
326,101,N,24,369,372.0,33,2
327,101,N,32,372,358.0,124,87
328,101,N,23,358,326.0,118,89
329,101,N,22,326,329.0,36,8
330,101,N,23,329,338.0,128,94
331,101,N,23,338,335.0,125,95
332,101,N,25,335,316.0,34,3
333,101,N,23,316,333.0,40,8
334,101,N,22,333,320.0,35,8
335,101,N,22,320,330.0,36,8
336,101,N,22,330,323.0,35,8
337,101,N,23,323,337.0,41,7
338,101,N,23,337,366.0,37,8
339,101,N,23,366,359.0,35,6
340,101,N,24,359,351.0,34,3
341,101,N,22,351,335.0,34,7
342,101,N,22,335,321.0,36,9
343,101,N,22,321,344.0,41,8
344,101,N,24,344,356.0,35,6
345,101,N,23,356,360.0,37,7
346,101,N,24,360,364.0,38,3
347,101,N,23,364,348.0,35,5
348,101,N,24,348,345.0,36,6
349,101,N,24,345,356.0,125,90
350,101,N,23,356,363.0,125,95
351,101,N,23,363,381.0,35,6
352,101,N,25,381,374.0,32,1
353,101,N,23,374,357.0,120,90
354,101,N,23,357,358.0,124,92
355,101,N,24,358,365.0,121,92
356,101,N,32,365,370.0,121,84
357,101,N,31,370,370.0,130,94
358,101,N,24,370,369.0,133,101
359,101,N,33,369,327.0,134,90
360,101,Q,40,24,357.0,69,13
361,101,N,26,357,62.0,50,14
362,101,N,34,264,349.0,49,9
363,101,N,28,349,345.0,123,91
364,101,N,31,345,333.0,118,74
365,101,N,33,333,329.0,74,37
366,101,N,34,329,335.0,48,8
367,101,N,30,335,346.0,127,84
368,101,N,31,346,365.0,130,92
369,101,N,31,365,368.0,66,27
370,101,N,30,368,341.0,128,93
371,101,N,21,341,324.0,35,7
372,101,N,23,324,335.0,33,8
373,101,N,30,335,333.0,133,89
374,101,N,10,333,326.0,18,1
375,101,N,24,326,331.0,33,1
376,101,N,33,331,321.0,124,85
377,101,N,23,321,325.0,32,3
378,101,N,23,325,310.0,37,9
379,101,N,11,310,302.0,16,1
380,101,N,22,302,331.0,34,8
381,101,N,23,331,355.0,36,8
382,101,N,24,355,356.0,34,5
383,101,N,23,356,343.0,123,95
384,101,N,23,343,330.0,37,8
385,101,N,23,330,348.0,34,5
386,101,N,23,348,356.0,32,4
387,101,N,23,356,357.0,34,5
388,101,N,24,357,357.0,33,4
389,101,N,11,357,340.0,17,1
390,101,N,22,340,330.0,36,7
391,101,N,22,330,326.0,37,9
392,101,N,22,326,338.0,35,8
393,101,N,24,338,365.0,34,5
394,101,N,24,365,361.0,34,4
395,101,N,24,361,345.0,35,4
396,101,N,23,345,338.0,34,5
397,101,N,23,338,332.0,37,6
398,101,N,24,332,322.0,35,6
399,101,N,23,322,341.0,33,5
400,101,N,23,341,354.0,33,4
401,101,N,24,354,367.0,34,5
402,101,N,23,367,342.0,34,4
403,101,N,25,342,313.0,42,11
404,101,N,23,313,326.0,32,4
405,101,N,32,326,316.0,127,89
406,101,N,23,316,340.0,36,6
407,101,N,25,340,330.0,32,1
408,101,N,25,330,328.0,31,1
409,101,N,24,328,310.0,36,3
410,101,N,23,310,309.0,34,5
411,101,N,10,309,310.0,19,1
412,101,N,22,310,335.0,36,8
413,101,N,33,335,362.0,127,85
414,101,N,24,362,376.0,33,3
415,101,N,23,376,369.0,32,3
416,101,N,22,369,347.0,35,8
417,101,N,22,347,356.0,35,8
418,101,N,24,356,384.0,33,3
419,101,N,25,384,194.0,32,2
420,101,SVEB,23,194,426.0,31,3
421,101,N,23,426,362.0,36,7
422,101,N,24,362,347.0,34,5
423,101,N,24,347,351.0,36,4
424,101,N,24,351,352.0,37,7
425,101,N,24,352,370.0,35,5
426,101,N,25,370,380.0,34,2
427,101,N,22,380,345.0,36,8
428,101,N,22,345,349.0,36,9
429,101,N,24,349,353.0,34,4
430,101,N,24,353,376.0,33,2
431,101,N,24,376,379.0,34,4
432,101,N,24,379,374.0,32,2
433,101,N,25,374,370.0,34,2
434,101,N,24,370,342.0,36,8
435,101,N,23,342,351.0,124,94
436,101,N,24,351,368.0,34,3
437,101,N,34,368,379.0,128,88
438,101,N,24,379,378.0,35,6
439,101,N,24,378,359.0,32,3
440,101,N,23,359,338.0,121,93
441,101,N,22,338,359.0,34,8
442,101,N,23,359,373.0,34,5
443,101,N,24,373,380.0,36,6
444,101,N,24,380,380.0,40,6
445,101,N,24,380,368.0,36,6
446,101,N,23,368,348.0,124,94
447,101,N,22,348,351.0,39,7
448,101,N,24,351,371.0,34,4
449,101,N,34,371,371.0,135,95
450,101,N,22,371,355.0,35,7
451,101,N,24,355,357.0,31,2
452,101,N,24,357,354.0,34,2
453,101,N,24,354,356.0,36,7
454,101,N,24,356,380.0,34,4
455,101,N,24,380,384.0,38,2
456,101,N,25,384,376.0,131,99
457,101,N,22,376,355.0,36,8
458,101,N,23,355,355.0,39,5
459,101,N,23,355,360.0,38,6
460,101,N,23,360,378.0,122,94
461,101,N,25,378,390.0,32,1
462,101,N,23,390,363.0,130,101
463,101,N,10,363,355.0,17,1
464,101,N,23,355,362.0,33,5
465,101,N,23,362,363.0,37,7
466,101,N,23,363,378.0,125,97
467,101,N,24,378,391.0,32,2
468,101,N,33,391,382.0,130,91
469,101,N,24,382,355.0,35,6
470,101,N,23,355,362.0,33,5
471,101,N,25,362,384.0,33,2
472,101,N,24,384,378.0,126,96
473,101,N,23,378,379.0,34,6
474,101,N,32,379,376.0,125,87
475,101,N,24,376,360.0,122,92
476,101,N,23,360,350.0,37,8
477,101,N,23,350,368.0,34,6
478,101,N,24,368,389.0,37,6
479,101,N,25,389,379.0,31,1
480,101,N,23,379,349.0,34,6
481,101,N,23,349,356.0,34,6
482,101,N,24,356,357.0,34,5
483,101,N,24,357,370.0,34,4
484,101,N,24,370,363.0,36,5
485,101,N,23,363,371.0,34,4
486,101,N,32,371,377.0,128,90
487,101,N,24,377,350.0,124,94
488,101,N,22,350,357.0,36,9
489,101,N,24,357,378.0,32,3
490,101,N,23,378,383.0,131,98
491,101,N,24,383,383.0,35,6
492,101,N,24,383,370.0,34,5
493,101,N,23,370,368.0,120,92
494,101,N,23,368,364.0,37,9
495,101,N,23,364,385.0,36,7
496,101,N,32,385,391.0,131,94
497,101,N,25,391,377.0,130,99
498,101,N,23,377,361.0,37,8
499,101,N,25,361,359.0,34,1
500,101,N,25,359,361.0,33,2
501,101,N,24,361,388.0,36,6
502,101,N,25,388,391.0,33,2
503,101,N,25,391,371.0,31,1
504,101,N,23,371,355.0,34,6
505,101,N,23,355,362.0,36,6
506,101,N,32,362,373.0,128,90
507,101,N,24,373,361.0,129,100
508,101,N,24,361,376.0,35,6
509,101,N,23,376,359.0,34,6
510,101,N,33,359,339.0,126,86
511,101,N,23,339,325.0,35,7
512,101,N,23,325,338.0,35,7
513,101,N,33,338,373.0,130,92
514,101,N,31,373,364.0,138,100
515,101,N,23,364,353.0,36,7
516,101,N,25,353,363.0,36,5
517,101,N,30,363,348.0,126,91
518,101,N,24,348,346.0,37,7
519,101,N,23,346,364.0,32,4
520,101,N,32,364,370.0,129,92
521,101,N,30,370,373.0,132,97
522,101,N,27,373,346.0,127,93
523,101,N,23,346,338.0,36,7
524,101,N,24,338,371.0,33,3
525,101,N,32,371,387.0,126,88
526,101,N,25,387,368.0,130,99
527,101,N,24,368,378.0,33,3
528,101,N,26,378,359.0,127,93
529,101,N,23,359,353.0,36,7
530,101,N,26,353,369.0,123,92
531,101,N,26,369,372.0,129,96
532,101,N,25,372,378.0,35,4
533,101,N,32,378,368.0,131,92
534,101,N,26,368,346.0,122,91
535,101,N,25,346,319.0,133,97
536,101,N,22,319,333.0,37,7
537,101,N,25,333,358.0,132,101
538,101,N,25,358,364.0,38,2
539,101,N,31,364,378.0,128,91
540,101,N,30,378,360.0,132,94
541,101,N,22,360,346.0,33,6
542,101,N,24,346,378.0,33,2
543,101,N,32,378,383.0,128,90
544,101,N,25,383,378.0,34,4
545,101,N,24,378,367.0,34,3
546,101,N,24,367,349.0,36,7
547,101,N,24,349,351.0,39,7
548,101,N,32,351,345.0,123,85
549,101,N,24,345,346.0,125,94
550,101,N,23,346,341.0,124,96
551,101,N,24,341,351.0,35,6
552,101,N,24,351,342.0,124,95
553,101,N,24,342,338.0,121,91
554,101,N,23,338,343.0,120,90
555,101,N,23,343,358.0,131,101
556,101,N,23,358,351.0,34,7
557,101,N,25,351,337.0,133,95
558,101,N,24,337,328.0,121,90
559,101,N,23,328,331.0,40,5
560,101,N,23,331,337.0,38,9
561,101,N,25,337,356.0,34,3
562,101,N,33,356,360.0,135,94
563,101,N,32,360,364.0,135,92
564,101,N,22,364,325.0,35,7
565,101,N,23,325,313.0,33,4
566,101,N,23,313,322.0,32,7
567,101,N,35,322,330.0,55,12
568,101,N,35,330,351.0,135,91
569,101,N,33,351,350.0,46,1
570,101,N,23,350,339.0,31,4
571,101,N,24,339,336.0,37,2
572,101,N,23,336,327.0,33,4
573,101,N,23,327,319.0,42,9
574,101,N,23,319,344.0,122,90
575,101,N,33,344,354.0,127,86
576,101,N,24,354,356.0,33,1
577,101,N,24,356,327.0,36,4
578,101,N,22,327,323.0,35,7
579,101,N,22,323,332.0,35,7
580,101,N,23,332,339.0,31,2
581,101,N,24,339,348.0,36,1
582,101,N,32,348,344.0,128,90
583,101,N,24,344,336.0,129,99
584,101,N,23,336,337.0,32,2
585,101,N,24,337,331.0,32,2
586,101,N,33,331,332.0,124,85
587,101,N,23,332,351.0,36,8
588,101,N,34,351,368.0,131,90
589,101,N,33,368,361.0,128,89
590,101,N,24,361,337.0,123,91
591,101,N,23,337,343.0,36,9
592,101,N,24,343,346.0,36,4
593,101,N,24,346,343.0,34,7
594,101,N,25,343,349.0,34,3
595,101,N,24,349,350.0,38,9
596,101,N,33,350,347.0,129,91
597,101,N,24,347,337.0,36,7
598,101,N,22,337,340.0,37,8
599,101,N,24,340,353.0,31,2
600,101,N,30,353,358.0,133,96
601,101,N,23,358,356.0,35,5
602,101,N,33,356,346.0,126,88
603,101,N,27,346,343.0,40,5
604,101,N,29,343,337.0,125,91
605,101,N,10,337,345.0,17,1
606,101,N,23,345,347.0,35,6
607,101,N,33,347,356.0,133,90
608,101,N,32,356,362.0,130,92
609,101,N,30,362,349.0,127,90
610,101,N,28,349,339.0,123,86
611,101,N,24,339,349.0,122,93
612,101,N,24,349,347.0,35,4
613,101,N,22,347,345.0,35,7
614,101,N,24,345,344.0,33,3
615,101,N,33,344,332.0,123,84
616,101,N,23,332,332.0,34,6
617,101,N,23,332,350.0,32,4
618,101,N,33,350,372.0,128,89
619,101,N,32,372,366.0,128,91
620,101,N,23,366,375.0,38,8
621,101,N,33,375,360.0,124,86
622,101,N,32,360,359.0,125,85
623,101,N,24,359,356.0,36,7
624,101,N,34,356,388.0,128,88
625,101,N,33,388,392.0,131,91
626,101,N,30,392,362.0,126,90
627,101,N,23,362,369.0,36,7
628,101,N,24,369,363.0,35,5
629,101,N,25,363,364.0,121,86
630,101,N,24,364,375.0,130,99
631,101,N,33,375,391.0,129,90
632,101,N,32,391,382.0,132,93
633,101,N,26,382,355.0,123,92
634,101,N,23,355,375.0,128,93
635,101,N,33,375,375.0,127,88
636,101,N,24,375,369.0,70,42
637,101,N,24,369,367.0,36,4
638,101,N,23,367,351.0,35,6
639,101,N,23,351,339.0,38,8
640,101,N,22,339,344.0,39,9
641,101,N,23,344,351.0,34,6
642,101,N,23,351,387.0,33,6
643,101,N,25,387,333.0,32,2
644,101,SVEB,23,333,414.0,35,7
645,101,N,22,414,356.0,36,9
646,101,N,23,356,352.0,119,91
647,101,N,22,352,349.0,124,95
648,101,N,24,349,351.0,36,5
649,101,N,24,351,330.0,36,7
650,101,N,24,330,341.0,36,5
651,101,N,23,341,331.0,37,7
652,101,N,23,331,321.0,34,7
653,101,N,24,321,354.0,33,5
654,101,N,24,354,376.0,38,7
655,101,N,25,376,377.0,126,97
656,101,N,23,377,364.0,36,8
657,101,N,24,364,366.0,41,6
658,101,N,23,366,367.0,125,96
659,101,N,22,367,365.0,33,7
660,101,N,24,365,387.0,34,5
661,101,N,25,387,370.0,36,5
662,101,N,23,370,350.0,37,8
663,101,N,23,350,341.0,36,9
664,101,N,24,341,335.0,34,4
665,101,N,24,335,353.0,33,4
666,101,N,24,353,365.0,32,2
667,101,N,29,365,354.0,135,98
668,101,N,23,354,349.0,132,102
669,101,N,24,349,341.0,35,6
670,101,N,32,341,345.0,127,89
671,101,N,24,345,344.0,126,95
672,101,N,32,344,374.0,127,89
673,101,N,30,374,377.0,135,96
674,101,N,23,377,368.0,35,6
675,101,N,32,368,362.0,125,87
676,101,N,31,362,354.0,119,82
677,101,N,24,354,354.0,36,6
678,101,N,33,354,382.0,125,87
679,101,N,30,382,380.0,127,91
680,101,N,27,380,360.0,128,94
681,101,N,23,360,365.0,35,6
682,101,N,32,365,359.0,121,83
683,101,N,23,359,350.0,124,92
684,101,N,23,350,372.0,38,6
685,101,N,32,372,388.0,134,96
686,101,N,33,388,372.0,133,94
687,101,N,22,372,341.0,40,8
688,101,N,22,341,361.0,36,8
689,101,N,32,361,370.0,127,89
690,101,N,32,370,372.0,136,92
691,101,N,22,372,377.0,40,5
692,101,N,23,377,375.0,33,4
693,101,N,23,375,365.0,34,4
694,101,N,23,365,346.0,34,6
695,101,N,22,346,370.0,34,5
696,101,N,33,370,396.0,130,91
697,101,N,29,396,379.0,129,93
698,101,N,22,379,368.0,38,5
699,101,N,31,368,360.0,121,83
700,101,N,29,360,362.0,126,91
701,101,N,23,362,369.0,34,5
702,101,N,34,369,393.0,132,90
703,101,N,31,393,389.0,130,93
704,101,N,24,389,355.0,36,5
705,101,N,34,355,347.0,124,84
706,101,N,25,347,355.0,34,3
707,101,N,23,355,352.0,118,90
708,101,N,23,352,374.0,36,7
709,101,N,33,374,374.0,129,87
710,101,N,24,374,347.0,42,5
711,101,N,22,347,347.0,35,8
712,101,N,23,347,360.0,38,4
713,101,N,24,360,368.0,34,3
714,101,N,11,368,377.0,19,1
715,101,N,24,377,382.0,38,7
716,101,N,33,382,372.0,126,87
717,101,N,24,372,350.0,122,93
718,101,N,22,350,366.0,37,9
719,101,N,33,366,388.0,133,93
720,101,N,33,388,388.0,131,92
721,101,N,24,388,375.0,36,4
722,101,N,24,375,366.0,33,3
723,101,N,25,366,371.0,33,2
724,101,N,23,371,355.0,121,93
725,101,N,10,355,380.0,18,1
726,101,N,30,380,395.0,133,97
727,101,N,28,395,370.0,125,91
728,101,N,23,370,349.0,36,7
729,101,N,23,349,356.0,36,7
730,101,N,32,356,380.0,130,88
731,101,N,31,380,374.0,134,95
732,101,N,24,374,377.0,36,4
733,101,N,32,377,376.0,129,91
734,101,N,31,376,356.0,127,90
735,101,N,23,356,338.0,34,6
736,101,N,24,338,361.0,34,3
737,101,N,32,361,376.0,130,91
738,101,N,26,376,363.0,129,98
739,101,N,23,363,362.0,35,6
740,101,N,31,362,345.0,123,86
741,101,N,24,345,351.0,124,93
742,101,N,22,351,347.0,37,7
743,101,N,24,347,369.0,124,93
744,101,N,32,369,380.0,131,93
745,101,N,24,380,361.0,125,96
746,101,N,10,361,358.0,16,1
747,101,N,23,358,356.0,35,7
748,101,N,25,356,370.0,125,91
749,101,N,24,370,379.0,34,4
750,101,N,23,379,378.0,35,6
751,101,N,31,378,372.0,127,90
752,101,N,24,372,347.0,130,96
753,101,N,23,347,366.0,128,96
754,101,N,33,366,376.0,129,90
755,101,N,32,376,380.0,130,91
756,101,N,33,380,390.0,133,94
757,101,N,33,390,377.0,127,88
758,101,N,26,377,349.0,122,90
759,101,N,23,349,365.0,36,7
760,101,N,24,365,384.0,122,93
761,101,N,25,384,378.0,130,99
762,101,N,22,378,373.0,36,8
763,101,N,24,373,367.0,122,93
764,101,N,32,367,357.0,125,87
765,101,N,10,357,340.0,15,1
766,101,N,23,340,354.0,40,7
767,101,N,25,354,376.0,34,2
768,101,N,33,376,374.0,132,93
769,101,N,32,374,352.0,128,89
770,101,N,26,352,349.0,123,91
771,101,N,29,349,359.0,123,88
